coin,symbol,candle_open_time_utc,candle_close_time_utc,open,high,low,close,volume,quote_volume,trade_count,source,source_interval,source_symbol,is_complete,ingested_at_utc,date
Bitcoin,BTCUSDT,2017-08-17T00:00:00Z,2017-08-17T23:59:59Z,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206,3427,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-17
Bitcoin,BTCUSDT,2017-08-18T00:00:00Z,2017-08-18T23:59:59Z,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151,5233,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-18
Bitcoin,BTCUSDT,2017-08-19T00:00:00Z,2017-08-19T23:59:59Z,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151,2153,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-19
Bitcoin,BTCUSDT,2017-08-20T00:00:00Z,2017-08-20T23:59:59Z,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646,2321,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-20
Bitcoin,BTCUSDT,2017-08-21T00:00:00Z,2017-08-21T23:59:59Z,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728,3972,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-21
Bitcoin,BTCUSDT,2017-08-22T00:00:00Z,2017-08-22T23:59:59Z,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051,6494,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-22
Bitcoin,BTCUSDT,2017-08-23T00:00:00Z,2017-08-23T23:59:59Z,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968,8629,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-23
Bitcoin,BTCUSDT,2017-08-24T00:00:00Z,2017-08-24T23:59:59Z,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476,6247,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-24
Bitcoin,BTCUSDT,2017-08-25T00:00:00Z,2017-08-25T23:59:59Z,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327,6554,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-25
Bitcoin,BTCUSDT,2017-08-26T00:00:00Z,2017-08-26T23:59:59Z,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321,2260,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-26
Bitcoin,BTCUSDT,2017-08-27T00:00:00Z,2017-08-27T23:59:59Z,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557,3670,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-27
Bitcoin,BTCUSDT,2017-08-28T00:00:00Z,2017-08-28T23:59:59Z,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953,4349,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-28
Bitcoin,BTCUSDT,2017-08-29T00:00:00Z,2017-08-29T23:59:59Z,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991,4159,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-29
Bitcoin,BTCUSDT,2017-08-30T00:00:00Z,2017-08-30T23:59:59Z,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123,5551,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-30
Bitcoin,BTCUSDT,2017-08-31T00:00:00Z,2017-08-31T23:59:59Z,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184,4161,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-08-31
Bitcoin,BTCUSDT,2017-09-01T00:00:00Z,2017-09-01T23:59:59Z,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616,4000,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-01
Bitcoin,BTCUSDT,2017-09-02T00:00:00Z,2017-09-02T23:59:59Z,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817,7475,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-02
Bitcoin,BTCUSDT,2017-09-03T00:00:00Z,2017-09-03T23:59:59Z,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181,6022,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-03
Bitcoin,BTCUSDT,2017-09-04T00:00:00Z,2017-09-04T23:59:59Z,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974,9317,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-04
Bitcoin,BTCUSDT,2017-09-05T00:00:00Z,2017-09-05T23:59:59Z,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071,10084,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-05
Bitcoin,BTCUSDT,2017-09-06T00:00:00Z,2017-09-06T23:59:59Z,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323,7956,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-06
Bitcoin,BTCUSDT,2017-09-07T00:00:00Z,2017-09-07T23:59:59Z,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315,3070,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-07
Bitcoin,BTCUSDT,2017-09-08T00:00:00Z,2017-09-08T23:59:59Z,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337,4733,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-08
Bitcoin,BTCUSDT,2017-09-09T00:00:00Z,2017-09-09T23:59:59Z,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698,3777,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-09
Bitcoin,BTCUSDT,2017-09-10T00:00:00Z,2017-09-10T23:59:59Z,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211,3435,Binance Spot public market-data REST API,1d,BTCUSDT,1,2026-04-05T13:06:44.554250+00:00,2017-09-10
